index,X,Y,Z,formation
62,539204.18994819,7503038.64090269,591.0,Wittenoom_Formation
63,536770.92103071,7502932.64054512,573.0,Wittenoom_Formation
64,535871.59837798,7501240.11996504,545.0,Wittenoom_Formation
65,532990.7747944555,7500985.70182247,544.0,Wittenoom_Formation
66,532904.0695134036,7501128.961417044,544.0,Wittenoom_Formation
67,532255.23953478,7501090.09199102,562.0,Wittenoom_Formation
68,528449.42942169,7500976.55027108,558.0,Wittenoom_Formation
69,530080.0286604895,7521273.574077862,588.0,Marra_Mamba_Iron_Formation
70,530198.73958736,7521243.73099188,582.0,Marra_Mamba_Iron_Formation
71,530605.66994639,7521228.73980529,591.0,Marra_Mamba_Iron_Formation
72,531309.5308381636,7520984.046536085,580.0,Marra_Mamba_Iron_Formation
73,532015.55944497,7520826.74196086,608.0,Marra_Mamba_Iron_Formation
74,532499.43951752,7520951.25150972,634.0,Marra_Mamba_Iron_Formation
75,532532.17868912,7521142.23957689,634.0,Marra_Mamba_Iron_Formation
76,548640.9534642881,7521273.574077862,645.0,Marra_Mamba_Iron_Formation
77,549808.75883146,7520736.17834299,662.0,Marra_Mamba_Iron_Formation
78,551698.50204219,7519618.6714425,679.0,Marra_Mamba_Iron_Formation
79,553365.7093298,7517646.13982642,659.0,Marra_Mamba_Iron_Formation
80,552934.17124837,7516053.63207182,678.0,Marra_Mamba_Iron_Formation
81,551731.07499245,7514759.201526599,681.0,Marra_Mamba_Iron_Formation
82,549777.15792895,7514142.63051547,690.0,Marra_Mamba_Iron_Formation
83,547744.1209063,7513230.63090327,660.0,Marra_Mamba_Iron_Formation
84,547114.2637708104,7512140.900866585,635.0,Marra_Mamba_Iron_Formation
85,547104.4526327185,7512122.394337148,635.0,Marra_Mamba_Iron_Formation
86,547025.8510443,7511974.12992622,631.0,Marra_Mamba_Iron_Formation
87,546762.4904998625,7510993.451111171,691.0,Marra_Mamba_Iron_Formation
88,546758.3017795589,7510972.91567971,691.0,Marra_Mamba_Iron_Formation
89,545584.70227058,7509837.14035942,692.0,Marra_Mamba_Iron_Formation
90,544986.9678245999,7508529.64070461,659.0,Marra_Mamba_Iron_Formation
91,544743.64966899,7508180.64890768,657.0,Marra_Mamba_Iron_Formation
92,543852.74140865,7506721.64924481,621.0,Marra_Mamba_Iron_Formation
93,542628.15126791,7504653.14773858,617.0,Marra_Mamba_Iron_Formation
94,540331.75014262,7503195.64920016,560.0,Marra_Mamba_Iron_Formation
95,537790.32914579,7502369.14931665,549.0,Marra_Mamba_Iron_Formation
96,537322.0002547,7501506.13797193,571.0,Marra_Mamba_Iron_Formation
97,535734.41960692,7500662.12071423,518.0,Marra_Mamba_Iron_Formation
98,533864.93777668,7500710.1096216,572.0,Marra_Mamba_Iron_Formation
99,533295.3713802103,7500487.039291037,553.0,Marra_Mamba_Iron_Formation
100,533029.9344967178,7500850.24582394,547.0,Marra_Mamba_Iron_Formation
101,532059.217866,7500783.59257653,561.0,Marra_Mamba_Iron_Formation
102,529089.13063851,7500749.05869537,566.0,Marra_Mamba_Iron_Formation
103,528606.7054395514,7500745.170735247,568.0,Marra_Mamba_Iron_Formation
104,529070.4768030181,7500216.433158288,513.0,Marra_Mamba_Iron_Formation
105,527668.65048203,7500241.04891835,512.0,Marra_Mamba_Iron_Formation
106,525080.37888159,7500248.52011825,530.0,Marra_Mamba_Iron_Formation
107,562666.8601065436,7485870.348914626,600.0,Turee_Creek_Group
108,558779.85086832,7485895.8185085,573.0,Turee_Creek_Group
109,555836.07125476,7486728.79060516,545.0,Turee_Creek_Group
110,552388.76000066,7488291.7586767,548.0,Turee_Creek_Group
111,550480.60911968,7489028.73194874,553.0,Turee_Creek_Group
112,550234.66995102,7489292.23041662,560.0,Turee_Creek_Group
113,550285.73805215,7489586.22938499,561.0,Turee_Creek_Group
114,551355.00040584,7489970.96196577,573.0,Turee_Creek_Group
115,553314.54900137,7490381.75042434,551.0,Turee_Creek_Group
116,553519.37869441,7490376.25776433,551.0,Turee_Creek_Group
117,554807.80789655,7490256.26958156,554.0,Turee_Creek_Group
118,555064.81972477,7490002.76857262,556.0,Turee_Creek_Group
119,555121.18067826,7489605.26845719,550.0,Turee_Creek_Group
120,555680.94017578,7489904.28001399,554.0,Turee_Creek_Group
121,556613.37015054,7490170.29053041,561.0,Turee_Creek_Group
122,559565.77068844,7490140.3198423,604.0,Turee_Creek_Group
123,561353.13826393,7490455.83992528,577.0,Turee_Creek_Group
124,562508.52138745,7490316.34990055,579.0,Turee_Creek_Group
125,561967.68986547,7490957.84059678,568.0,Boolgeeda_Iron_Formation
126,562666.8601065436,7490997.268630386,583.0,Boolgeeda_Iron_Formation
127,562666.8601065436,7485244.75902687,601.0,Boolgeeda_Iron_Formation
128,561807.92927542,7485214.35222956,607.0,Boolgeeda_Iron_Formation
129,559770.85021081,7485060.82991926,600.0,Boolgeeda_Iron_Formation
130,557618.36071105,7485548.79911627,570.0,Boolgeeda_Iron_Formation
131,555086.38881927,7486292.77870651,576.0,Boolgeeda_Iron_Formation
132,551348.87923628,7488153.74920543,574.0,Boolgeeda_Iron_Formation
133,549866.29977146,7488831.23041964,553.0,Boolgeeda_Iron_Formation
134,549437.21034151,7489367.22046132,572.0,Boolgeeda_Iron_Formation
