X,Y,Z,azimuth,dip,polarity,formation
533815.490857695,7504841.8836513935,609.0,327.99447833910773,7.404763515936779,1,Weeli_Wolli_Formation
531085.822018183,7503424.192092365,597.0,14.632832560261136,24.772798301659503,1,Weeli_Wolli_Formation
528013.059679545,7502708.3146229135,553.0,355.4271877975468,29.891325644132944,1,Weeli_Wolli_Formation
524770.165104405,7502329.020945745,589.0,350.51920595791944,23.360010164932408,1,Weeli_Wolli_Formation
520535.5074258599,7501717.9229772575,546.0,358.2851054030008,19.9428181483986,1,Weeli_Wolli_Formation
517898.4563920489,7501093.353208343,520.0,343.25222731399435,24.269446464921785,1,Weeli_Wolli_Formation
515938.2348512904,7504281.869563231,501.0,85.90334656163787,31.815231211327788,1,Weeli_Wolli_Formation
518451.74463226,7508479.230168435,649.0,165.86711715829497,33.12236371755626,1,Weeli_Wolli_Formation
521553.2286903392,7509035.112303017,613.0,184.68268183784528,29.336679482599635,1,Weeli_Wolli_Formation
524303.9295138051,7509462.80558246,584.0,170.79553455126782,16.148398765349285,1,Weeli_Wolli_Formation
528261.511217395,7510303.630070105,590.0,163.30359577606703,8.6725068383749,1,Weeli_Wolli_Formation
532369.0235282001,7511663.491073235,627.0,154.4350153266912,3.176737901827792,1,Weeli_Wolli_Formation
534067.0898217049,7512392.974521001,695.0,171.85478588149522,2.037948560787825,1,Weeli_Wolli_Formation
537961.432376185,7511789.608547455,640.0,202.24608110213296,0.8307300270227103,1,Weeli_Wolli_Formation
519922.855516935,7510700.49570857,625.0,172.69146134213432,21.50554731855117,1,Wittenoom_Formation
523048.0255426596,7511696.634111812,587.0,149.73617715173236,8.576651622067361,1,Wittenoom_Formation
524965.16076637,7513561.55955241,604.0,129.09415845677668,7.6481902366819545,1,Wittenoom_Formation
526487.730267925,7517135.579473835,623.0,98.12565537055023,4.20097380837214,1,Wittenoom_Formation
526854.92044841,7519500.1347884005,622.0,42.28745104992447,1.779232635379728,1,Wittenoom_Formation
527168.08479123,7520569.174671875,623.0,160.12525262434607,2.6262528737568833,1,Wittenoom_Formation
530849.995220055,7520256.246672455,600.0,187.32001312865302,4.9745298314423385,1,Wittenoom_Formation
533742.970656035,7520098.24971456,609.0,173.27752356108533,5.936668098414187,1,Wittenoom_Formation
550259.7512952699,7519635.423818275,661.0,226.72835386379487,26.96964934700386,1,Wittenoom_Formation
551820.2106207199,7517585.61939792,663.0,219.80833246953887,24.391479012082076,1,Wittenoom_Formation
552018.530453105,7516487.869023985,653.0,274.39819732498574,21.462483395978524,1,Wittenoom_Formation
550577.073265845,7514927.38086921,647.0,352.86124497588014,13.455928915357363,1,Wittenoom_Formation
548011.594352125,7514041.38387348,627.0,333.44422418424716,4.274521215543416,1,Wittenoom_Formation
546726.2813055016,7512731.600717038,619.0,325.02966169625785,9.49422733828115,1,Wittenoom_Formation
