X,Y,Z,formation
519972.78154691,7492053.43901718,520.,Fault_2843
545893.98244059,7489525.86523723,654.,Fault_2997
545755.50142375,7489723.68135684,677.,Fault_2997
545376.7147523,7490292.18461711,641.,Fault_2997
544972.20599484,7490816.66864488,722.,Fault_2997
544698.5290464,7491229.16123748,661.,Fault_2997
544585.5114451,7491365.67175768,633.,Fault_2997
544315.01813374,7491692.17202982,608.,Fault_2997
544278.19980615,7491731.16215295,608.,Fault_2997
544116.74892785,7491902.66123526,600.,Fault_2997
543948.00931542,7492082.15929203,600.,Fault_2997
543815.63934849,7492181.65231903,611.,Fault_2997
543212.94172121,7492633.64954097,541.,Fault_2997
542578.61935664,7492980.65130643,530.,Fault_2997
542286.88914077,7493141.65162613,553.,Fault_2997
541963.19163038,7493283.13978594,560.,Fault_2997
541373.25980024,7493585.6289696,524.,Fault_2997
540638.12432243,7494130.62800413,502.,Fault_2997
540139.05340998,7494814.13423512,509.,Fault_2997
539420.74387274,7496089.78824517,489.,Fault_2997
539394.93209254,7496135.62297114,494.,Fault_2997
539028.58285976,7496659.63465747,497.,Fault_2997
538598.44607519,7497133.1117222,485.,Fault_2997
538110.63306649,7497524.11207555,486.,Fault_2997
537533.494343,7497858.11327313,497.,Fault_2997
536981.50944426,7498128.61605469,497.,Fault_2997
536416.39474816,7498309.60412959,489.,Fault_2997
535889.29443311,7498465.10473309,495.,Fault_2997
535476.49000407,7498575.61415051,499.,Fault_2997
534479.09627295,7498804.10098736,508.,Fault_2997
534630.34441964,7483865.05492077,431.,Fault_3496
534090.60551689,7484046.06116299,431.,Fault_3496
533742.16394765,7484321.56376239,423.,Fault_3496
533388.35278607,7484794.56788143,449.,Fault_3496
533015.99345145,7485395.0575,435.,Fault_3496
532580.79170147,7486055.071734,433.,Fault_3496
531873.55461718,7487027.04515378,423.,Fault_3496
531550.80242083,7487522.53403198,424.,Fault_3496
530508.60395946,7489023.52602026,492.,Fault_3496
530193.10023506,7489541.03822615,480.,Fault_3496
529932.98886084,7489804.02599761,469.,Fault_3496
528977.92851386,7490769.53031005,530.,Fault_3496
528182.86951453,7492066.02967569,465.,Fault_3496
527790.80764607,7492539.02315779,471.,Fault_3496
527475.04337437,7492999.02684152,528.,Fault_3496
527088.25041356,7493236.51080705,475.,Fault_3496
526531.36511284,7493812.51387744,512.,Fault_3496
526241.48968922,7494361.51259949,466.,Fault_3496
526035.07836964,7495088.00375303,466.,Fault_3496
525796.65808711,7495764.01378774,491.,Fault_3496
525855.19764379,7496044.01467372,490.,Fault_3496
525794.77713101,7496712.51283815,481.,Fault_3496
525856.83559773,7497705.0160571,475.,Fault_3496
525757.75103567,7498272.01408908,478.,Fault_3496
525089.15708681,7499446.52318718,518.,Fault_3496
524596.27588008,7500098.51540907,542.,Fault_3496
524512.80164159,7500182.00755984,542.,Fault_3496
524248.58790062,7500447.0197916,540.,Fault_3496
523887.39582506,7500808.99943623,603.,Fault_3496
523814.80919092,7500861.50106209,629.,Fault_3496
523576.8901202,7501033.50114164,660.,Fault_3496
523090.59194631,7501408.48978086,570.,Fault_3496
522521.98180311,7501847.49948718,551.,Fault_3496
522422.25158683,7501924.49156487,554.,Fault_3496
522189.26567998,7502103.99834995,547.,Fault_3496
539513.18738029,7491597.13566214,607.,Fault_3498
539039.42032853,7492274.12993127,532.,Fault_3498
538799.87040783,7492714.61990853,533.,Fault_3498
537896.95236326,7494062.60501342,501.,Fault_3498
536855.69067647,7495537.21949823,472.,Fault_3498
536570.44569593,7495941.11459244,474.,Fault_3498
534479.09627295,7498804.10098736,508.,Fault_3498
534340.19805361,7498999.59891721,516.,Fault_3498
534210.08037376,7499182.60107616,516.,Fault_3498
533285.19194846,7500484.10048948,553.,Fault_3498
533038.92839015,7500854.6003846,547.,Fault_3498
532980.30230737,7500984.59894823,544.,Fault_3498
532914.74969844,7501129.60123437,544.,Fault_3498
532869.00517466,7501231.109522,544.,Fault_3498
532622.25910074,7501487.10041895,565.,Fault_3498
532540.00999317,7501632.11100112,573.,Fault_3498
532401.50813829,7501876.60077593,608.,Fault_3498
532130.46012056,7502165.59858725,663.,Fault_3498
531813.06703894,7502503.61203035,672.,Fault_3498
531205.58059967,7503124.10487552,635.,Fault_3498
531092.21003941,7503242.11012067,597.,Fault_3498
